Language Task Size Select_size Model Metric Value
cho surSeg 500 250 transformer f1 0.09490000000000001
cho surSeg 500 275 transformer precision 0.09998333333333334
cho surSeg 500 275 transformer recall 0.08883333333333333
cho surSeg 500 275 transformer f1 0.09090000000000001
cho surSeg 500 300 transformer precision 0.10111666666666667
cho surSeg 500 300 transformer recall 0.09526666666666667
cho surSeg 500 300 transformer f1 0.09425
cho surSeg 500 325 transformer precision 0.09723333333333332
cho surSeg 500 325 transformer recall 0.08996666666666667
cho surSeg 500 325 transformer f1 0.09033333333333333
cho surSeg 500 350 transformer precision 0.08566666666666667
cho surSeg 500 350 transformer recall 0.08063333333333333
cho surSeg 500 350 transformer f1 0.07965
cho surSeg 500 375 transformer precision 0.08918333333333334
cho surSeg 500 375 transformer recall 0.08610000000000001
cho surSeg 500 375 transformer f1 0.08483333333333334
cho surSeg 500 400 transformer precision 0.09556666666666666
cho surSeg 500 400 transformer recall 0.09023333333333333
cho surSeg 500 400 transformer f1 0.08983333333333333
cho surSeg 500 425 transformer precision 0.10026666666666667
cho surSeg 500 425 transformer recall 0.0965
cho surSeg 500 425 transformer f1 0.09516666666666666
cho surSeg 500 450 transformer precision 0.10498333333333333
cho surSeg 500 450 transformer recall 0.10455
cho surSeg 500 450 transformer f1 0.10063333333333334
cho surSeg 500 475 transformer precision 0.10414999999999999
cho surSeg 500 475 transformer recall 0.10261666666666668
cho surSeg 500 475 transformer f1 0.09913333333333334
cho surSeg 500 500 transformer precision 0.10725
cho surSeg 500 500 transformer recall 0.09888333333333334
cho surSeg 500 500 transformer f1 0.09960000000000001
cho surSeg 500 525 transformer precision 0.10638333333333333
cho surSeg 500 525 transformer recall 0.10358333333333333
cho surSeg 500 525 transformer f1 0.10133333333333334
cho surSeg 500 550 transformer precision 0.11168333333333333
cho surSeg 500 550 transformer recall 0.10805000000000001
cho surSeg 500 550 transformer f1 0.10583333333333333
cho surSeg 500 575 transformer precision 0.10388333333333334
cho surSeg 500 575 transformer recall 0.10051666666666667
cho surSeg 500 575 transformer f1 0.09888333333333334
cho surSeg 500 600 transformer precision 0.12140000000000001
cho surSeg 500 600 transformer recall 0.11470000000000001
cho surSeg 500 600 transformer f1 0.1149
cho surSeg 1000 0 transformer precision 0.0989
cho surSeg 1000 0 transformer recall 0.09331666666666667
cho surSeg 1000 0 transformer f1 0.09240000000000001
cho surSeg 1000 25 transformer precision 0.10276666666666667
cho surSeg 1000 25 transformer recall 0.09011666666666666
cho surSeg 1000 25 transformer f1 0.0932
cho surSeg 1000 50 transformer precision 0.10278333333333334
cho surSeg 1000 50 transformer recall 0.09125
cho surSeg 1000 50 transformer f1 0.09403333333333333
cho surSeg 1000 75 transformer precision 0.11416666666666667
